PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Customer ID
Yes,Mailed check,19.25,864.2,0206-OYVOC
Yes,Bank transfer (automatic),19.65,19.65,7291-CDTMJ
No,Bank transfer (automatic),72.8,3249.4,7128-GGCNO
Yes,Bank transfer (automatic),109.65,5405.8,0237-YFUTL
No,Credit card (automatic),65,3363.8,7691-KGKGP
Yes,Electronic check,114.1,7132.15,6710-HSJRD
No,Bank transfer (automatic),20.65,93.55,3675-EQOZA
Yes,Bank transfer (automatic),86.95,4138.9,0840-DCNZE
Yes,Bank transfer (automatic),94.75,5121.75,1732-FEKLD
Yes,Credit card (automatic),25.35,566.1,9862-KJTYK
Yes,Electronic check,105.45,2715.3,0479-HMSWA
No,Mailed check,25.4,1782.05,5854-KSRBJ
Yes,Electronic check,102.55,1742.5,0365-BZUWY
Yes,Electronic check,100.2,2983.8,4817-VYYWS
No,Mailed check,24,24,5701-SVCWR
No,Mailed check,25.6,485.9,3129-AAQOU
Yes,Credit card (automatic),73.5,1905.7,4922-CVPDX
Yes,Bank transfer (automatic),74.05,1565.7,1396-QWFBJ
Yes,Electronic check,98.25,4858.7,1357-BIJKI
Yes,Electronic check,54.4,3723.65,1099-BTKWT
Yes,Bank transfer (automatic),101.55,298.35,5299-SJCZT
No,Electronic check,103.1,970.45,2018-PZKMU
No,Bank transfer (automatic),34.2,1782,7340-KEFQE
Yes,Electronic check,43.75,405.7,4570-QHXHL
Yes,Electronic check,111.95,4534.9,2403-BCASL
Yes,Electronic check,100.65,2415.95,7392-YYPYJ
Yes,Electronic check,55.95,1157.05,2898-LSJGD
Yes,Bank transfer (automatic),116.05,8297.5,2223-GDSHL
No,Electronic check,45.75,45.75,7359-PTSXY
Yes,Credit card (automatic),82,2083.1,9470-RTWDV
No,Bank transfer (automatic),65.15,4681.75,2176-OSJUV
Yes,Credit card (automatic),44.8,176.2,9348-YVOMK
Yes,Electronic check,79.8,1001.2,8104-OSKWT
Yes,Electronic check,88.85,1594.75,4521-YEEHE
Yes,Electronic check,74.95,212.4,4090-KPJIP
Yes,Bank transfer (automatic),106.85,7677.4,3786-WOVKF
No,Electronic check,74.95,815.5,4503-BDXBD
No,Credit card (automatic),80.15,80.15,6086-ESGRL
No,Credit card (automatic),19.3,259.65,2592-HODOV
Yes,Electronic check,109.25,8109.8,3886-CERTZ
No,Credit card (automatic),56.1,2386.85,7995-ZHHNZ
No,Credit card (automatic),19.7,340.35,3824-RHKVR
Yes,Mailed check,51.3,419.35,5816-SCGFC
No,Mailed check,118.6,7990.05,5989-AXPUC
No,Bank transfer (automatic),24.15,1402.25,4979-HPRFL
No,Mailed check,20.3,749.35,8590-OHDIW
Yes,Electronic check,115.5,8425.15,8015-IHCGW
No,Credit card (automatic),25.05,1171.5,2332-TODQS
Yes,Electronic check,109.1,5647.95,9278-VZKCD
No,Mailed check,19.65,708.8,8008-OTEZX
Yes,Bank transfer (automatic),111.3,7567.2,2773-OVBPK
No,Mailed check,29.9,29.9,5999-LCXAO
Yes,Mailed check,80.6,4348.1,5206-XZZQI
No,Mailed check,20.8,635.9,4803-LBYPN
No,Credit card (automatic),35.2,108.95,5759-RCVCB
No,Electronic check,78.8,78.8,6372-RFVNS
No,Mailed check,89.95,1682.4,2139-FQHLM
Yes,Bank transfer (automatic),116.05,6925.9,8261-GWDBQ
No,Credit card (automatic),19.55,223.15,1093-YSWCA
Yes,Electronic check,106.4,5127.95,8938-UMKPI
No,Electronic check,49.4,874.8,0991-BRRFB
No,Credit card (automatic),115.25,6758.45,3882-IYOIJ
No,Credit card (automatic),24.8,1874.3,8749-TZYEC
No,Mailed check,19.9,791.15,1755-FZQEC
Yes,Credit card (automatic),81.25,4639.45,3115-JPJDD
No,Mailed check,69.95,143.9,5600-KTXFM
No,Electronic check,69.1,69.1,3871-IKPYH
Yes,Electronic check,90.2,1776.55,6319-IEJWJ
Yes,Bank transfer (automatic),93.55,536.4,9025-AOMKI
Yes,Credit card (automatic),86.4,6172,6339-TBELP
No,Mailed check,66.3,1559.45,7964-YESJC
Yes,Credit card (automatic),94.65,6079,6173-GOLSU
Yes,Mailed check,80.85,80.85,5275-SQEIZ
Yes,Mailed check,82.05,4029.95,7716-YTYHG
No,Mailed check,72.1,2658.4,9938-ZREHM
No,Mailed check,34.7,383.55,7950-XWOVN
Yes,Credit card (automatic),20.55,51.15,4390-KYULV
Yes,Credit card (automatic),95.95,1745.5,4647-MUZON
Yes,Bank transfer (automatic),44.8,2230.85,9702-AIUJO
Yes,Electronic check,109.4,7281.6,8849-PRIQJ
Yes,Mailed check,71.05,1837.7,8851-RAGOV
Yes,Electronic check,78.55,149.55,1304-NECVQ
No,Credit card (automatic),19.7,180.7,5396-IZEPB
No,Mailed check,40.25,411.45,1729-VLAZJ
No,Credit card (automatic),19.85,1328.35,8285-ABVLB
Yes,Bank transfer (automatic),68.25,576.95,0701-TJSEF
Yes,Credit card (automatic),20.15,68.45,5712-VBOXD
No,Mailed check,50.95,123.05,6629-LADHQ
No,Electronic check,78.65,78.65,8945-GRKHX
Yes,Bank transfer (automatic),25.15,468.35,1559-DTODC
Yes,Bank transfer (automatic),20.25,174.7,4797-MIWUM
Yes,Electronic check,42.9,42.9,6959-UWKHF
No,Electronic check,44,44,8720-RQSBJ
No,Mailed check,20.25,172.35,4537-CIBHB
No,Mailed check,34.25,139.35,3815-SLMEF
No,Mailed check,58.5,539.85,5154-VEKBL
No,Credit card (automatic),55.8,300.4,4324-AHJKS
No,Bank transfer (automatic),88.9,4968,4355-CVPVS
No,Mailed check,57.65,992.7,4495-LHSSK
Yes,Electronic check,96.2,4718.25,5655-JSMZM
No,Mailed check,79.15,5536.5,5915-ANOEI
Yes,Credit card (automatic),108.05,7806.6,9861-PDSZP
No,Electronic check,74.4,434.1,4505-EXZHB
Yes,Electronic check,94.8,1563.9,7225-CBZPL
Yes,Electronic check,45.9,1332.4,6704-UTUKK
Yes,Electronic check,105.3,545.2,4587-VVTOX
No,Electronic check,102.6,6296.75,2019-HDCZY
Yes,Bank transfer (automatic),73.85,1284.2,4652-NNHNY
Yes,Bank transfer (automatic),61.35,3645.5,8788-DOXSU
No,Electronic check,57.55,161.45,7404-JLKQG
Yes,Mailed check,29.25,226.95,7421-ZLUPA
Yes,Electronic check,84.55,646.85,8972-HJWNV
No,Credit card (automatic),19.6,1441.65,3274-NSDWE
No,Credit card (automatic),111.75,7511.3,2632-IVXVF
Yes,Electronic check,106.5,5621.85,3692-JHONH
Yes,Credit card (automatic),107.7,7919.8,8915-NNTRC
No,Mailed check,19.3,593.2,5914-GXMDA
No,Bank transfer (automatic),20.05,1423.65,7463-IFMQU
Yes,Credit card (automatic),69.95,69.95,2920-RNCEZ
No,Credit card (automatic),63.7,2763.35,2541-YGPKE
No,Credit card (automatic),24.75,692.1,8515-OCTJS
Yes,Bank transfer (automatic),50.9,2298.55,5382-TEMLV
Yes,Credit card (automatic),60.4,2640.55,3441-CGZJH
No,Mailed check,79.25,2911.8,9592-ERDKV
Yes,Credit card (automatic),85.8,1727.5,2860-RANUS
Yes,Electronic check,24.45,86.6,5261-QSHQM
Yes,Credit card (automatic),110.1,6705.7,4778-IZARL
No,Mailed check,90.7,237.65,0432-CAJZV
Yes,Credit card (automatic),25.3,1672.35,7008-LZVOZ
Yes,Electronic check,105.7,2979.5,8868-WOZGU
No,Electronic check,85.2,695.75,1200-TUZHR
No,Mailed check,24.35,1654.6,9365-CSLBQ
Yes,Electronic check,24.25,24.25,1334-FJSVR
No,Bank transfer (automatic),25.1,1857.85,5884-FBCTL
Yes,Bank transfer (automatic),54.55,825.1,7130-CTCUS
No,Mailed check,96.6,6424.25,6242-FEGFD
Yes,Electronic check,76.5,837.95,7625-XCQRH
Yes,Credit card (automatic),81.15,4126.2,6194-HBGQN
Yes,Electronic check,38.5,330.8,7634-WSWDB
Yes,Electronic check,92.9,1337.45,6986-IXNDM
Yes,Electronic check,93.5,362.2,1731-TVIUK
No,Mailed check,84.7,5991.05,2987-BJXIK
No,Electronic check,66,4891.5,9769-TSBZE
Yes,Credit card (automatic),101.5,5373.1,0406-BPDVR
Yes,Bank transfer (automatic),74.9,2068.55,0618-XWMSS
No,Mailed check,20.75,487.05,1395-WSWXR
Yes,Credit card (automatic),61.45,4131.2,6023-GSSXW
No,Mailed check,54.5,2301.15,6752-APNJL
Yes,Electronic check,69.6,131.65,5276-KQWHG
Yes,Electronic check,99.75,4036,0420-HLGXF
Yes,Bank transfer (automatic),109.75,4900.65,7446-KQISO
Yes,Bank transfer (automatic),80.85,5727.45,9823-EALYC
No,Mailed check,20.3,743.05,0582-AVCLN
Yes,Bank transfer (automatic),67.8,4804.65,5803-NQJZO
Yes,Mailed check,24.05,24.05,2565-JSLRY
Yes,Credit card (automatic),19.8,1414.65,2607-DHDAK
No,Bank transfer (automatic),25.7,1443.65,1073-XXCZD
Yes,Electronic check,56.15,2898.95,0743-HRVFF
Yes,Bank transfer (automatic),86.7,5309.5,4006-HKYHO
No,Mailed check,20.4,20.4,3727-JEZTU
Yes,Mailed check,19.65,451.55,8143-ETQTI
No,Electronic check,50.55,50.55,6689-KXGBO
Yes,Mailed check,54.35,117.05,9667-TKTVZ
No,Credit card (automatic),108.1,5839.3,3657-COGMW
No,Mailed check,54.45,1893.5,8570-KLJYJ
No,Mailed check,45.35,45.35,7754-IXRMC
No,Mailed check,59,1654.45,9473-CBZOP
No,Electronic check,69.45,477.05,2969-WGHQO
Yes,Electronic check,100.55,1415.55,6615-NGGZJ
Yes,Credit card (automatic),64.95,4546,4334-HOWRP
Yes,Mailed check,20.5,20.5,4255-DDUOU
No,Mailed check,18.85,163.2,5863-OOKCL
No,Bank transfer (automatic),19.8,849.9,1686-STUHN
No,Bank transfer (automatic),25.05,189.95,1329-VHWNP
Yes,Bank transfer (automatic),74.8,321.9,2984-MIIZL
Yes,Credit card (automatic),114.3,8058.55,0266-GMEAO
Yes,Electronic check,24.45,482.8,5590-YRFJT
No,Credit card (automatic),109.2,7049.75,5574-NXZIU
No,Bank transfer (automatic),45.05,2560.1,0019-GFNTW
Yes,Mailed check,51,286.8,4256-ZWTZI
Yes,Bank transfer (automatic),110.45,7982.5,8309-PPCED
Yes,Electronic check,84.65,5683.6,4098-NAUKP
No,Mailed check,60.05,3994.05,5196-WPYOW
No,Bank transfer (automatic),44.65,369.15,4608-LCIMN
Yes,Bank transfer (automatic),93.25,4631.7,1485-YDHMM
Yes,Mailed check,20.25,401.95,4054-CUMIA
No,Mailed check,25.45,1534.05,0603-TPMIB
No,Mailed check,20.6,1093,2525-GVKQU
Yes,Electronic check,94.1,701.3,8161-QYMTT
No,Mailed check,34.8,1980.3,9581-GVBXT
Yes,Bank transfer (automatic),60.75,2893.4,5862-BRIXZ
Yes,Electronic check,51.35,262.3,5404-GGUKR
Yes,Credit card (automatic),64.05,3886.85,3308-JSGML
Yes,Bank transfer (automatic),84.8,5917.55,2126-GSEGL
Yes,Credit card (automatic),71,914,3677-TNKIO
Yes,Mailed check,50.15,2139.1,0440-QEXBZ
Yes,Credit card (automatic),94.6,5948.7,2434-EEVDB
No,Mailed check,59.75,3624.35,6762-QVYJO
No,Electronic check,100.25,4753.85,6199-IWKGC
Yes,Electronic check,98.9,5780.7,2675-DHUTR
Yes,Credit card (automatic),97.7,6869.7,8152-VETUR
Yes,Electronic check,40.3,1172.95,9667-EQRXU
No,Bank transfer (automatic),60.25,662.95,7446-YPODE
Yes,Electronic check,56.25,1765.95,9522-BNTHX
No,Bank transfer (automatic),46.2,2431.95,4676-WLUHT
Yes,Electronic check,50.6,155.35,3329-WDIOK
No,Mailed check,24.9,1859.2,7980-MHFLQ
Yes,Electronic check,84.85,3303.05,2873-ZLIWT
No,Mailed check,65.7,134.35,3415-TAILE
No,Credit card (automatic),63.35,3409.1,0757-WCUUZ
No,Bank transfer (automatic),50.1,709.5,1629-DQQVB
No,Electronic check,70.5,70.5,1915-IOFGU
Yes,Electronic check,94.85,953.45,3045-XETSH
No,Electronic check,50.15,50.15,0374-AACSZ
No,Mailed check,19.75,19.75,7239-HZZCX
Yes,Bank transfer (automatic),64.65,3665.55,4872-VXRIL
Yes,Bank transfer (automatic),79.6,5515.8,9140-CZQZZ
Yes,Mailed check,19.5,272,3423-HHXAO
Yes,Electronic check,99.55,6668,9938-TKDGL
Yes,Electronic check,74,4052.4,0531-ZZJWQ
Yes,Electronic check,38.9,664.4,6537-QLGEX
Yes,Electronic check,79.55,718.55,2688-BHGOG
Yes,Electronic check,65.45,937.6,7683-CBDKJ
Yes,Electronic check,98.7,5812.6,0946-CLJTI
Yes,Bank transfer (automatic),46.3,2546.85,3160-TYXLT
Yes,Credit card (automatic),99.35,6944.5,1325-USMEC
Yes,Electronic check,95.8,1346.3,0916-QOFDP
Yes,Bank transfer (automatic),67.5,1544.05,0628-CNQRM
Yes,Credit card (automatic),78.15,765.15,5606-AMZBO
No,Mailed check,26.1,692.55,6199-IPCAO
Yes,Electronic check,69.6,69.6,7665-TOALD
No,Electronic check,84.35,4059.35,0112-QWPNC
Yes,Electronic check,100.2,6851.65,0324-BRPCJ
No,Electronic check,78.05,78.05,2777-PHDEI
Yes,Credit card (automatic),40.35,1187.05,5640-CAXOA
No,Credit card (automatic),79.2,5401.9,2235-EZAIK
Yes,Mailed check,20.9,247,3847-BAERP
No,Electronic check,73.6,520,1196-AMORA
Yes,Electronic check,74.75,706.6,4282-YMKNA
No,Mailed check,49.9,49.9,1453-RZFON
Yes,Credit card (automatic),68.9,1370.35,8263-OKETD
Yes,Mailed check,20.25,20.25,0670-KDOMA
Yes,Credit card (automatic),76,2215.25,2476-YGEFM
No,Electronic check,74,74,8687-BAFGU
Yes,Mailed check,82.3,214.4,0641-EVBOJ
Yes,Bank transfer (automatic),89.4,1871.15,0829-XXPLX
Yes,Credit card (automatic),99.15,6171.2,9974-JFBHQ
Yes,Mailed check,20.2,20.2,5356-RHIPP
No,Bank transfer (automatic),29.45,161.45,6624-JDRDS
No,Electronic check,19.8,1013.2,0608-JDVEC
Yes,Bank transfer (automatic),59.15,336.7,9780-FKVVF
No,Electronic check,44.75,333.65,1919-RTPQD
Yes,Credit card (automatic),90.8,6511.8,5214-NLTIT
Yes,Bank transfer (automatic),49.55,393.45,3345-PBBFH
No,Credit card (automatic),106.7,7009.5,5055-BRMNE
Yes,Electronic check,93.55,2264.05,9189-JWSHV
Yes,Credit card (automatic),94.45,6921.7,2190-PHBHR
Yes,Bank transfer (automatic),19.45,600.25,2650-GYRYL
Yes,Electronic check,25.05,56.35,0746-JTRFU
No,Mailed check,67.95,4664.15,5208-FVQKB
No,Bank transfer (automatic),65.25,1441.8,7184-LRUUR
Yes,Bank transfer (automatic),99.45,5623.7,6627-CFOSN
Yes,Credit card (automatic),20.35,695.85,3982-JGSFD
No,Mailed check,19.95,1028.75,1574-DYCWE
No,Bank transfer (automatic),77.4,4155.95,7247-XOZPB
No,Bank transfer (automatic),19.7,395.6,2466-FCCPT
No,Credit card (automatic),99.7,6330.4,6211-WWLTF
No,Credit card (automatic),74.8,2971.7,4826-TZEVA
Yes,Mailed check,19.15,638,6016-NXBNJ
No,Bank transfer (automatic),78.95,2034.25,9138-EFSMO
Yes,Electronic check,95.55,2510.2,0576-WNXXC
No,Credit card (automatic),62.85,3419.5,4632-XJMEX
No,Credit card (automatic),71.55,2427.35,8910-LEDAG
Yes,Electronic check,94.95,1760.25,3452-GWUIN
Yes,Credit card (automatic),86.1,3551.65,2716-GFZOR
No,Mailed check,19.55,122.9,3724-UCSHY
Yes,Mailed check,24.8,1424.2,8626-XHBIE
Yes,Electronic check,39.3,2111.45,4628-CTTLA
Yes,Mailed check,84.05,2909.95,3192-LNKRK
No,Electronic check,36.25,374,4439-YRNVD
Yes,Mailed check,20.25,20.25,2876-VBBBL
Yes,Electronic check,23.9,300.8,6834-NXDCA
No,Electronic check,98.6,5581.05,2208-UGTGR
Yes,Credit card (automatic),103.65,5676.65,3005-TYFRD
Yes,Credit card (automatic),92.9,3379.25,8670-MEFCP
No,Bank transfer (automatic),19.9,942.95,3079-BCHLN
Yes,Credit card (automatic),20.1,232.4,7777-UNYHB
Yes,Electronic check,85.45,85.45,5597-GLBUC
Yes,Electronic check,80.5,2088.45,7278-CKDNC
No,Bank transfer (automatic),99.9,6137,2748-MYRVK
Yes,Electronic check,39.85,1434.6,8450-UYIBU
No,Credit card (automatic),60.5,3870,2969-VAPYH
Yes,Electronic check,84.8,2043.45,4822-YCXMX
No,Mailed check,103.85,2215,7181-OQCUT
No,Bank transfer (automatic),67.8,842.25,8474-UMLNT
Yes,Electronic check,75.2,2576.2,9821-POOTN
No,Bank transfer (automatic),24.85,1901,3836-FZSDJ
No,Credit card (automatic),19.35,601.6,9142-XMYJH
No,Electronic check,49.35,3515.25,6559-ILWKJ
Yes,Electronic check,89,605.45,0187-QSXOE
Yes,Electronic check,55,3094.05,7733-UDMTP
No,Bank transfer (automatic),76.15,4929.55,2649-HWLYB
No,Mailed check,20.3,595.05,5214-CHIWJ
Yes,Electronic check,74.9,469.8,4229-CZMLL
Yes,Credit card (automatic),117.35,8436.25,6904-JLBGY
Yes,Mailed check,19.75,19.75,2465-BLLEU
No,Credit card (automatic),45.2,492,1685-VAYJF
No,Mailed check,25.2,987.95,8874-EJNSR
Yes,Electronic check,89.75,5496.9,6917-YACBP
No,Bank transfer (automatic),75,1908.35,5049-MUBWG
No,Mailed check,49.95,107.1,4223-WOZCM
No,Bank transfer (automatic),65.7,4575.35,0769-MURVM
No,Credit card (automatic),67.05,4309.55,9253-VIFJQ
No,Credit card (automatic),110.9,7922.75,7030-FZTFM
Yes,Bank transfer (automatic),87.95,522.35,9741-YLNTD
No,Credit card (automatic),19.8,587.7,5917-RYRMG
No,Bank transfer (automatic),75.7,3876.2,5120-ZBLAI
Yes,Mailed check,62.15,3778.85,1194-BHJYC
Yes,Electronic check,101.25,1457.25,3663-MITLP
No,Bank transfer (automatic),115.15,8349.45,0906-QVPMS
Yes,Mailed check,18.95,185.6,9025-ZRPVR
No,Mailed check,19.5,19.5,1905-OEILC
Yes,Electronic check,86.55,1066.9,7858-GTZSP
No,Credit card (automatic),28.6,973.55,3285-UCQVC
No,Mailed check,20.4,1226.45,6248-BSHKG
No,Bank transfer (automatic),19.8,342.3,4685-TFLLS
No,Mailed check,45.65,985.05,3470-BTGQO
Yes,Mailed check,56.4,3948.45,1209-VFFOC
Yes,Credit card (automatic),73.3,828.05,8224-DWCKX
No,Electronic check,24.35,41.85,5482-PLVPE
Yes,Electronic check,101.35,6164.7,4553-DVPZG
No,Electronic check,98.65,2862.75,4902-OHLSK
No,Mailed check,33.6,33.6,6917-IAYHD
Yes,Bank transfer (automatic),79.9,343.95,0495-ZBNGW
No,Electronic check,20.7,20.7,8620-RJPZN
Yes,Electronic check,104.05,6590.5,7572-KPVKK
No,Bank transfer (automatic),20.25,717.95,2642-MAWLJ
Yes,Electronic check,103.3,2890.65,2357-COQEK
No,Credit card (automatic),73.7,4885.85,7103-ZGVNT
Yes,Credit card (automatic),96.2,1222.05,3737-GCSPV
Yes,Electronic check,108.75,6871.7,2027-WKXMW
No,Bank transfer (automatic),20.15,405.6,7137-NAXML
No,Credit card (automatic),19.75,208.25,2428-ZMCTB
Yes,Credit card (automatic),25.95,1801.9,2961-VNFKL
Yes,Electronic check,70.05,3062.45,1768-HNVGJ
No,Mailed check,24.05,1764.75,6963-KQYQB
Yes,Electronic check,84.75,1816.75,5934-RMPOV
No,Mailed check,23.05,1255.1,1207-BLKSA
Yes,Electronic check,104.15,5743.05,4088-YLDSU
No,Credit card (automatic),59.95,3921.1,8316-BBQAY
No,Bank transfer (automatic),19.55,1463.45,1166-PQLGG
No,Bank transfer (automatic),19.6,189.45,3146-JTQHR
No,Mailed check,20.05,96.8,4291-YZODP
Yes,Electronic check,85.55,408.5,4395-PZMSN
No,Credit card (automatic),78.6,1846.65,6427-FEFIG
Yes,Credit card (automatic),116.8,8456.75,0017-IUDMW
Yes,Mailed check,43.55,1011.5,8706-HRADD
Yes,Credit card (automatic),60.8,4263.4,9955-QOPOY
Yes,Bank transfer (automatic),54.9,2549.1,4385-ZKVNW
Yes,Electronic check,65.2,3965.05,5446-DKWYW
Yes,Credit card (automatic),102.95,2496.7,2034-CGRHZ
No,Electronic check,90.6,90.6,5797-APWZC
Yes,Bank transfer (automatic),50.8,288.05,3683-QKIUE
Yes,Electronic check,90.05,368.1,4228-ZGYUW
Yes,Electronic check,108.2,7840.6,9031-ZVQPT
No,Bank transfer (automatic),92,6632.75,2990-IAJSV
Yes,Electronic check,75.1,1013.35,8107-KNCIM
Yes,Bank transfer (automatic),25.05,152.95,9027-YFHQJ
No,Electronic check,75.15,3772.65,5176-LDKUH
No,Mailed check,19.5,1026.35,4644-OBGFZ
No,Credit card (automatic),19.3,19.3,7926-IJOOU
No,Credit card (automatic),112.2,5031.85,6480-YAGIY
Yes,Mailed check,70.3,220.4,4029-HPFVY
No,Mailed check,19.6,1416.5,7602-DBTOU
No,Mailed check,20.25,158.35,5345-BMKWB
Yes,Electronic check,75.85,256.6,3519-ZKXGG
No,Bank transfer (automatic),80.65,5542.55,5457-COLHT
Yes,Electronic check,68.5,68.5,6416-TVAIH
Yes,Credit card (automatic),115.75,8443.7,5451-YHYPW
Yes,Electronic check,73.5,791.75,5108-ADXWO
No,Bank transfer (automatic),80.6,5708.2,7998-WNZEM
Yes,Mailed check,69.95,69.95,3066-RRJIO
No,Bank transfer (automatic),59.55,2016.3,4664-NJCMS
No,Mailed check,19.05,326.65,0307-BCOPK
No,Electronic check,95.65,5471.75,7629-WFGLW
No,Credit card (automatic),19.95,19.95,2542-HYGIQ
Yes,Electronic check,70.05,346.4,6715-OFDBP
No,Mailed check,19.4,1061.6,5016-LIPDW
Yes,Credit card (automatic),36.1,1971.5,6481-LXPWL
Yes,Electronic check,94,773.65,1567-DSCIC
No,Mailed check,61.15,1422.05,2150-UWTFY
No,Mailed check,19.75,19.75,6124-ACRHJ
Yes,Credit card (automatic),64.1,2460.35,9362-MWODR
No,Credit card (automatic),19.75,856.5,9975-GPKZU
No,Mailed check,19.7,1275.85,9625-RZFUK
Yes,Electronic check,110.2,7467.5,5153-LXKDT
Yes,Credit card (automatic),106.35,7261.75,5161-UBZXI
No,Electronic check,90.55,5116.6,1020-JPQOW
Yes,Mailed check,65.9,660.05,7919-ZODZZ
No,Credit card (automatic),104.5,6590.8,0565-JUPYD
Yes,Mailed check,52.5,1208.15,6867-ACCZI
Yes,Mailed check,56.1,1033.9,5939-XAIXZ
Yes,Electronic check,88.75,1885.15,9054-FOWNV
Yes,Electronic check,84.45,2467.1,2683-BPJSO
Yes,Mailed check,75.3,989.45,2157-MXBJS
Yes,Bank transfer (automatic),26,2006.95,8207-VVMYB
No,Electronic check,99.4,5025,9732-EQMWY
Yes,Mailed check,109.55,4830.25,9360-AHGNL
Yes,Mailed check,19.6,59.75,1087-UDSIH
No,Electronic check,73.15,3088.25,5269-NRGDP
Yes,Mailed check,54.65,3134.7,6195-MELTI
No,Bank transfer (automatic),66.4,94.55,5485-WUYWF
Yes,Credit card (automatic),115.55,8312.4,2121-JAFOM
Yes,Electronic check,104.45,4863.85,8818-DOPVL
Yes,Credit card (automatic),100.05,6871.9,2632-UCGVD
No,Electronic check,102,6529.25,5445-PZWGX
Yes,Bank transfer (automatic),91.15,6637.9,1227-UDMZR
Yes,Electronic check,89.7,3165.6,5198-HQAEN
No,Credit card (automatic),90.2,1454.15,9170-CCKOU
Yes,Electronic check,92.4,6786.1,2167-FQSTQ
No,Mailed check,19.9,543,2819-GWENI
Yes,Credit card (automatic),25.15,1327.15,1043-YCUTE
Yes,Credit card (automatic),79.85,2404.15,3814-MLAXC
No,Bank transfer (automatic),18.85,867.3,3572-UUHRS
Yes,Mailed check,25.75,25.75,2692-PFYTJ
Yes,Mailed check,49.6,114.7,1226-UDFZR
Yes,Mailed check,20.95,109.5,5955-EPOAZ
Yes,Electronic check,97.05,4692.95,6821-JPCDC
Yes,Bank transfer (automatic),25.4,546.85,8815-LMFLX
Yes,Bank transfer (automatic),19.7,1274.05,9135-HSWOC
Yes,Mailed check,35,1782.4,8582-KRHPJ
No,Bank transfer (automatic),101.25,5301.1,5811-IWXYM
Yes,Electronic check,70.2,280.35,7044-YAACC
No,Electronic check,90.95,2897.95,8189-XRIKE
No,Credit card (automatic),73.85,3371,1506-YJTYT
Yes,Electronic check,88.05,801.3,4123-DVHPH
Yes,Credit card (automatic),105.95,6975.25,6425-YQLLO
No,Electronic check,91.85,257.05,5442-UTCVD
No,Mailed check,20.1,1079.45,2228-BZDEE
No,Electronic check,40.1,40.1,7734-DBOAI
No,Bank transfer (automatic),110.3,6997.3,2789-CZANW
Yes,Electronic check,73.9,2217.15,2091-RFFBA
Yes,Mailed check,89.8,1129.1,2114-MGINA
Yes,Credit card (automatic),85.15,979.05,7596-LDUXP
Yes,Bank transfer (automatic),60.95,4119.4,3740-RLMVT
No,Electronic check,72.25,2568.55,4489-SNOJF
No,Mailed check,73.55,3349.1,2192-OZITF
No,Mailed check,46,492.1,5651-CPDND
Yes,Bank transfer (automatic),58.55,1718.95,2186-QZEYA
No,Bank transfer (automatic),24.6,605.25,1131-ALZWV
Yes,Mailed check,19.75,1344.5,7729-XBTWX
No,Mailed check,86.35,4267.15,9134-WYRVP
No,Mailed check,25.5,1121.05,3284-SVCRO
No,Credit card (automatic),19,918.7,9732-OUYRN
Yes,Mailed check,19.55,521.8,0559-CKHUS
Yes,Credit card (automatic),110.1,4469.1,2931-SVLTV
Yes,Electronic check,96.55,3580.3,6899-PPEEA
No,Electronic check,69.75,1729.35,7504-UWHNB
Yes,Electronic check,50.6,1073.3,2582-FFFZR
Yes,Bank transfer (automatic),65.6,4566.5,8908-NMQTX
Yes,Credit card (automatic),40.1,293.3,2187-LZGPL
No,Credit card (automatic),82.1,2603.1,1431-AIDJQ
Yes,Mailed check,79.1,1783.75,6288-LBEAR
Yes,Electronic check,101.25,2440.15,4597-NUCQV
No,Electronic check,79.55,79.55,9019-QVLZD
No,Mailed check,90.65,6322.1,8413-YNHNV
Yes,Credit card (automatic),20.55,57.4,5808-TOTXO
Yes,Bank transfer (automatic),75.75,4284.65,4369-NYSCF
Yes,Credit card (automatic),110,7138.65,6333-YDVLT
No,Electronic check,20.85,1539.75,5324-KTGCG
Yes,Bank transfer (automatic),80.35,1058.1,5599-HVLTW
Yes,Electronic check,70.15,123.8,7394-LWLYN
No,Electronic check,84.05,2781.85,3707-LRWZD
No,Electronic check,67.45,2731,6873-UDNLD
No,Credit card (automatic),20.75,20.75,2700-LUEVA
Yes,Electronic check,89.1,89.1,1455-ESIQH
Yes,Mailed check,69.9,497.3,0958-YHXGP
Yes,Electronic check,51.1,711.15,1101-SSWAG
No,Electronic check,94.4,1607.2,2979-SXESE
Yes,Electronic check,78.25,1490.95,4013-TLDHQ
No,Bank transfer (automatic),25.55,1898.1,5743-KHMNA
No,Bank transfer (automatic),60,3273.95,4194-FJARJ
Yes,Credit card (automatic),90.55,2929.75,5325-UWTWJ
No,Electronic check,76.4,838.7,3969-GYXEL
Yes,Electronic check,84.95,1443.65,9208-OLGAQ
Yes,Bank transfer (automatic),110.1,7746.7,3244-CQPHU
Yes,Credit card (automatic),99.65,6951.15,2674-MLXMN
No,Credit card (automatic),45.4,214.75,9708-HPXWZ
No,Credit card (automatic),69,2669.45,6992-TKNYO
Yes,Bank transfer (automatic),48.65,235.2,4468-YDOVK
Yes,Electronic check,44.15,92.65,3754-DXMRT
No,Bank transfer (automatic),59.85,3103.25,5792-JALQC
Yes,Electronic check,75.75,606.25,7130-VTEWQ
Yes,Electronic check,80.65,5330.2,2200-DSAAL
